Verze dat;Od;Do;Agregační funkce;Agregace;Typ výrobního zařízení;
reálná data;12.07.2020 00:00:00;12.07.2020 23:59:59;agregace suma;15 minut;Vše;
Datum;PE [MW];PPE [MW];JE [MW];VE [MW];PVE [MW];AE [MW];ZE [MW];VTE [MW];FVE [MW];
12.07.2020 00:00;2137.4;1064;3048.3;195.8;3.5;209.8;0;18.8;0;
12.07.2020 00:15;2028.8;1121.4;3048.3;194.4;0;209.9;0;17.5;0;
12.07.2020 00:30;2020.9;1101.5;3048.3;194.4;0;209.1;0;18.4;0;
12.07.2020 00:45;1973.8;1069.7;3047.3;193.8;0;204.8;0;19.9;0;
12.07.2020 01:00;1993.1;1099.8;3044.6;130.1;0;202.8;0;21.8;0;
12.07.2020 01:15;1958.5;1099.8;3045;128.8;0;205.7;0;21.8;0;
12.07.2020 01:30;1934.3;1090.6;3047.8;128.8;0;208.6;0;22.5;0;
12.07.2020 01:45;1906.1;1081.8;3047.8;128.8;0;207.5;0;22.3;0;
12.07.2020 02:00;1914.1;1049.3;3047.8;128.8;0;204.2;0;22.3;0;
12.07.2020 02:15;1858.1;1054.9;3049.8;128.8;0;201.2;0;22;0;
12.07.2020 02:30;1852.5;1054.6;3050.8;128.8;0;201.9;0;22.7;0;
12.07.2020 02:45;1894.7;1052.5;3050.8;128.8;0;207.5;0;23.4;0;
12.07.2020 03:00;1964.6;987.1;3051.2;128.8;0;207.5;0;26.2;0;
12.07.2020 03:15;1972.9;812.3;3053.8;128.8;0;205.5;0;29.3;0;
12.07.2020 03:30;1988.4;749.7;3053.8;128.8;0;207.4;0;27.2;0;
12.07.2020 03:45;1980.2;719.6;3050.8;128.8;0;207.7;0;27.1;0;
12.07.2020 04:00;1952;734.3;3050.3;128.8;0;205.8;0;28.1;4.1;
12.07.2020 04:15;1932.4;738.2;3050.3;128.8;0;203.4;0;29.8;7.7;
12.07.2020 04:30;1912.6;732.8;3050.3;128.8;0;205.1;0;34.2;7.7;
12.07.2020 04:45;1900.6;727.3;3050.3;128.8;0;206.8;0;37.3;7.7;
12.07.2020 05:00;1906.2;742.9;3051.1;121.4;0;205.1;0;37;7.7;
12.07.2020 05:15;1897.3;745.4;3054.2;120.9;0;206.1;0;35;8.2;
12.07.2020 05:30;1867.8;742;3054.2;120.9;0;206.5;0;32.6;16.4;
12.07.2020 05:45;1871.6;744.2;3054.6;120.9;0;207.3;0;31.8;31.3;
12.07.2020 06:00;1900;720.3;3057.3;127.5;0;216.6;0;29.1;46.4;
12.07.2020 06:15;1889;718.1;3056.4;127.5;0;221.9;0;25.6;68.4;
12.07.2020 06:30;1917.2;722.6;3055.4;127.5;0;223.6;0;22.7;100.5;
12.07.2020 06:45;1930.1;726.1;3054;127.5;0;224.6;0;19.8;145.8;
12.07.2020 07:00;1936.6;721.1;3053.4;139.3;0;226;0;16.9;204.4;
12.07.2020 07:15;1943.9;720.4;3050.6;139.3;0;227.5;0;16.2;278.6;
12.07.2020 07:30;1947.5;722.4;3049.7;139.3;0;230.7;0;12.8;362.1;
12.07.2020 07:45;1949.8;718.6;3049.7;139.3;0;231.1;0;10.7;448.1;
12.07.2020 08:00;1914.7;702.6;3049.5;133.1;0;235;0;8.1;539.9;
12.07.2020 08:15;1900.1;699.1;3046.5;133.1;0;231.5;0;7.7;634.3;
12.07.2020 08:30;1922.1;707.2;3046.5;133.1;0;230.2;0;7.5;732.5;
12.07.2020 08:45;1930;705.2;3043.4;133.1;0;228.9;0;8.1;832.2;
12.07.2020 09:00;1907;704.9;3039.4;133.1;0;224.9;0;8.5;923.2;
12.07.2020 09:15;1838.6;689.8;3039.2;133.1;0;225;0;10.4;999;
12.07.2020 09:30;1861.3;698.5;3039.2;133.1;0;224.6;0;12.2;1057.8;
12.07.2020 09:45;1898;707.4;3037.4;133.1;0;224.9;0;14.2;1091.9;
12.07.2020 10:00;1886.4;701.6;3035.8;133.1;0;217.4;0;13.8;1098.8;
12.07.2020 10:15;1912.6;706.6;3035.8;133.1;0;218.1;0;13.7;1082.5;
12.07.2020 10:30;1946.4;713.2;3035.8;133.1;0;216.6;0;20.2;1095.4;
12.07.2020 10:45;1962;713.2;3035.8;133.1;0;217.1;0;21.2;1083.8;
12.07.2020 11:00;1934.2;709.9;3035.8;147.8;0;212.7;0;27.2;1054.1;
12.07.2020 11:15;1934;712.1;3035.8;151.5;0;214.1;0;24.8;1066.4;
