Datum;PE [MW];PPE [MW];JE [MW];VE [MW];PVE [MW];AE [MW];ZE [MW];VTE [MW];FVE [MW];
03.07.2020 00:00;2687.1;943.2;3007.1;466.2;0;196.5;0;49.2;0;
03.07.2020 00:15;2596.5;948.5;3007.1;466.9;0;196.1;0;41.4;0;
03.07.2020 00:30;2577.9;954.6;3008.5;463.8;84.3;195.5;0;42.6;0;
03.07.2020 00:45;2571.5;939.6;3010.1;461.7;97;195.9;0;35.8;0;
03.07.2020 01:00;2621.4;973.8;3006.1;307.8;0;195.2;0;35.6;0;
03.07.2020 01:15;2592.8;992;3005.4;304.1;0;194.9;0;46.6;0;
03.07.2020 01:30;2575.4;1001.4;3005.4;304.1;0;194.4;0;58.5;0;
03.07.2020 01:45;2500.8;978.1;3009.3;302.9;0;195.5;0;65;0;
03.07.2020 02:00;2592.6;996.8;3012.2;205.2;0;194.4;0;65.5;0;
03.07.2020 02:15;2597.1;1009;3012.2;203.3;0;194.9;0;73.2;0;
03.07.2020 02:30;2598.3;1009;3012.2;203.3;0;194.4;0;76.7;0;
03.07.2020 02:45;2599.5;1007.8;3012.2;203.3;0;194.4;0;83.2;0;
03.07.2020 03:00;2678.7;1024.3;3011.8;203.3;0;194.1;0;83;0;
03.07.2020 03:15;2613.5;1019;3012.5;203.3;0;194.4;0;86.9;0;
03.07.2020 03:30;2574.5;1008.5;3012.5;203.3;0;194.3;0;80.6;0;
03.07.2020 03:45;2577.3;1006.2;3012.5;203.3;0;195.3;0;80.9;0.6;
03.07.2020 04:00;2562.1;1007.1;3012.5;203.3;0;194.1;0;85.7;4.4;
03.07.2020 04:15;2557.1;1007.7;3011.2;203.3;0;194.8;0;76.6;4.4;
03.07.2020 04:30;2560.5;1010;3010.7;203.3;0;195.4;0;82.8;4.4;
03.07.2020 04:45;2550.7;1009.5;3012.5;203.3;0;195.5;0;89.8;4.4;
03.07.2020 05:00;2534.5;1001.1;3014.7;220.5;0;194.8;0;90.6;4.4;
03.07.2020 05:15;2524.2;997;3015.4;222;0;195.9;0;96.6;7.5;
03.07.2020 05:30;2531;1001.4;3014.4;222;0;195.8;0;96.3;15;
